interval,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0.0,3271,3973,4717,5972,7042,10134,9549
0.25,3145,3504,4452,5305,6516,10004,9383
0.5,2964,3613,4043,4894,6317,9767,9376
0.75,3067,3526,4150,4956,6402,9639,9188
1.0,2449,2760,3536,4054,5504,9364,9431
1.25,2235,2377,2976,3573,4897,8305,8839
1.5,1713,1879,2335,2952,4371,8231,8586
1.75,1575,1715,2005,2595,3822,7419,7883
2.0,1350,1408,1688,2204,3377,7016,7509
2.25,1209,1305,1512,2016,3106,6145,6754
2.5,1024,962,1225,1728,2780,5777,6608
2.75,883,782,1120,1627,2515,5303,5966
3.0,828,736,975,1364,2231,4875,5510
3.25,791,757,893,1291,2069,4413,5087
3.5,770,647,764,1256,1812,4126,4918
3.75,684,614,727,1071,1757,3730,4580
4.0,783,607,707,1014,1616,3570,4308
4.25,631,493,570,848,1354,3091,3766
4.5,662,468,577,773,1202,3003,3650
4.75,577,413,485,680,1015,2613,3361
5.0,715,641,628,850,1058,2453,3108
5.25,1025,995,1040,1137,1340,2260,2877
5.5,1183,1177,1109,1277,1463,2137,2775
5.75,1491,1418,1452,1391,1548,2001,2405
6.0,1920,2116,1925,2053,1852,1907,2108
6.25,2781,3130,2866,3181,2855,1648,2088
6.5,4324,4974,4535,4809,4214,1701,2017
6.75,5336,6215,5992,5926,5378,1621,1938
7.0,7122,8150,8104,7955,7040,1700,2042
7.25,9989,11872,11290,11364,9979,1991,1881
7.5,15010,18048,17450,17175,14820,2369,2361
7.75,18182,21487,21336,20737,17685,2544,2245
8.0,20576,23895,23494,22864,19537,3009,2557
8.25,24110,27623,28020,27084,23111,3423,2966
8.5,27535,31935,31663,30957,26632,4620,3532
8.75,24363,27574,27785,27534,24124,5006,3829
9.0,18239,20423,20918,20372,17991,5287,4185
9.25,14575,16853,16571,16698,15222,6787,5253
9.5,13675,15251,15156,15580,14297,8474,6708
9.75,12147,13214,13298,13625,12668,9057,7113
10.0,9529,10345,10291,10593,10187,8757,7252
10.25,8807,9186,9182,9508,9577,9709,8372
10.5,8940,8994,9331,9651,9804,11368,9677
10.75,8695,8939,9312,9337,9645,12173,10187
11.0,8705,8681,8686,9316,9612,12595,10355
11.25,9507,9238,9444,10019,10482,13742,11330
11.5,10739,10946,10998,11559,11808,15314,12921
11.75,11827,12198,12499,13171,13243,15772,13808
12.0,12847,12980,13472,14324,14363,16189,14383
12.25,13300,13852,14250,15420,14902,17254,15557
12.5,14145,14652,14873,15573,16147,18482,16906
12.75,14395,15049,15596,16005,16346,18991,17461
13.0,14876,15357,15862,16395,17801,19116,18314
13.25,14306,14615,15290,15884,16995,20324,19118
13.5,15202,14835,15755,16385,17894,21260,19667
13.75,15627,14977,15545,16652,17680,20970,20353
14.0,15331,14911,15695,16257,18507,21058,20502
14.25,14823,14325,14772,15674,18268,21223,21442
14.5,15013,14794,15328,16238,19204,22157,21591
14.75,15039,14652,15229,15933,18891,22255,22021
15.0,16768,16410,16396,17336,20411,22283,21656
15.25,16922,16423,16584,17715,20255,22009,21423
15.5,18908,18348,18843,19479,21755,21860,21971
15.75,19564,19153,19533,20583,21634,21030,21813
16.0,21512,21397,22047,22342,24438,21100,21355
16.25,21604,21441,22365,22851,24509,20933,20941
16.5,24013,23417,24302,24730,24912,20559,21370
16.75,24569,24226,24943,24849,25140,20421,20836
17.0,29376,28969,29834,29558,27348,20240,20567
17.25,30534,30014,30413,30277,27045,20507,20418
17.5,31275,31286,32180,31343,27268,21967,20795
17.75,30546,30553,31367,30285,25915,21438,20380
18.0,34041,33511,34074,33028,26534,20544,19442
18.25,32755,32406,33440,32260,25431,19691,18324
18.5,29825,29683,31359,30335,24709,19240,17572
18.75,27099,27005,27786,27841,23525,18799,16926
19.0,24670,24590,25741,25663,21703,18151,16095
19.25,22329,22458,23736,23758,20526,17786,15409
19.5,20964,21002,22102,22055,19944,17333,14489
19.75,18801,19331,20412,20344,19273,16772,13759
20.0,17350,18178,18892,18789,18224,16236,12553
20.25,14878,15855,17001,16446,16920,14887,11204
20.5,13321,14197,15030,14740,15576,13913,10184
20.75,11962,12577,13557,13794,14757,12924,9229
21.0,11558,12337,12796,13039,13330,11996,8460
21.25,10524,11656,12081,12184,13232,11450,7773
21.5,9958,11121,11469,11525,12357,10771,7261
21.75,9296,10477,11083,11118,11784,10416,7356
22.0,8919,10112,10780,10955,11444,9798,7144
22.25,8304,9240,9806,10481,11139,9614,6456
22.5,7747,9092,9989,10309,10804,9052,5894
22.75,7037,8654,9667,9855,10526,9291,5618
23.0,6558,7735,9051,10009,10869,9771,5469
23.25,5700,6866,8035,9155,10535,9591,4753
23.5,5156,6267,7551,8565,10496,9642,4446
23.75,4606,5350,6512,7581,10209,9631,3968
